ticker_symbol,company_name,clean_companies,tickers_lower
AIMDW,Ainos Inc. Warrants,ainosincwarrants,aimdw
AIN,Albany International Corporation Common Stock,albanyinternationalcorporationcommonstock,ain
AINC,Ashford Inc. (Holding Company) Common Stock,ashfordincholdingcompanycommonstock,ainc
AIO,Virtus Artificial Intelligence & Technology Opportunities Fund Common Shares of Beneficial Interest,virtusartificialintelligencetechnologyopportunitiesfundcommonsharesofbeneficialinterest,aio
AIP,Arteris Inc. Common Stock,arterisinccommonstock,aip
AIR,AAR Corp. Common Stock,aarcorpcommonstock,air
AIRC,Apartment Income REIT Corp. Common Stock,apartmentincomereitcorpcommonstock,airc
AIRG,Airgain Inc. Common Stock,airgaininccommonstock,airg
AIRI,Air Industries Group Common Stock,airindustriesgroupcommonstock,airi
AIRS,AirSculpt Technologies Inc. Common Stock,airsculpttechnologiesinccommonstock,airs
AIRT,Air T Inc. Common Stock,airtinccommonstock,airt
AIRTP,Air T Inc. Air T Funding Alpha Income Trust Preferred Securities,airtincairtfundingalphaincometrustpreferredsecurities,airtp
AIT,Applied Industrial Technologies Inc. Common Stock,appliedindustrialtechnologiesinccommonstock,ait
AIU,Meta Data Limited ADS,metadatalimitedads,aiu
AIV,Apartment Investment and Management Company Common Stock,apartmentinvestmentandmanagementcompanycommonstock,aiv
AIZ,Assurant Inc. Common Stock,assurantinccommonstock,aiz
AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061,assurantinc525subordinatednotesdue2061,aizn
AJG,Arthur J. Gallagher & Co. Common Stock,arthurjgallaghercocommonstock,ajg
AJRD,Aerojet Rocketdyne Holdings Inc. Common Stock,aerojetrocketdyneholdingsinccommonstock,ajrd
AJX,Great Ajax Corp. Common Stock,greatajaxcorpcommonstock,ajx
AJXA,Great Ajax Corp. 7.25% Convertible Senior Notes due 2024,greatajaxcorp725convertibleseniornotesdue2024,ajxa
AKA,a.k.a. Brands Holding Corp. Common Stock,akabrandsholdingcorpcommonstock,aka
AKAM,Akamai Technologies Inc. Common Stock,akamaitechnologiesinccommonstock,akam
AKAN,Akanda Corp. Common Shares,akandacorpcommonshares,akan
AKBA,Akebia Therapeutics Inc. Common Stock,akebiatherapeuticsinccommonstock,akba
AKIC,Sports Ventures Acquisition Corp. Class A Ordinary Shares,sportsventuresacquisitioncorpclassaordinaryshares,akic
AKICW,Sports Ventures Acquisition Corp. Warrant,sportsventuresacquisitioncorpwarrant,akicw
AKLI,Akili Inc. Common Stock,akiliinccommonstock,akli
AKO/A,Embotelladora Andina S.A.,embotelladoraandinasa,ako/a
AKO/B,Embotelladora Andina S.A.,embotelladoraandinasa,ako/b
AKR,Acadia Realty Trust Common Stock,acadiarealtytrustcommonstock,akr
AKRO,Akero Therapeutics Inc. Common Stock,akerotherapeuticsinccommonstock,akro
AKTS,Akoustis Technologies Inc. Common Stock,akoustistechnologiesinccommonstock,akts
AKTX,Akari Therapeutics plc ADS,akaritherapeuticsplcads,aktx
