senators,stocks,buy/sell,date
Thomas Carper,DGRS,sold,2022-11-14
Thomas Carper,FINX,sold,2022-11-14
Thomas Carper,EFAD,bought,2022-11-14
Thomas Carper,FDRR,bought,2022-11-14
Thomas Carper,FQAL,bought,2022-11-14
Thomas Carper,JHEM,bought,2022-11-14
Thomas Carper,FIASX,sold,2022-11-14
Bill Hagerty,BKEPP,sold,2022-11-14
Gary Peters,HR,sold,2022-11-14
John Hickenlooper,FWONK,sold,2022-11-14
John Hickenlooper,FWONK,bought,2022-11-14
Mark Warner,INVALID STOCK,sold,2022-11-14
Tommy Tuberville,CLF,bought,2022-11-14
Tommy Tuberville,ECOM,bought,2022-11-14
Tommy Tuberville,INVALID STOCK,bought,2022-11-14
Tommy Tuberville,INVALID STOCK,sold,2022-11-14
Tommy Tuberville,INVALID STOCK,bought,2022-11-14
Tommy Tuberville,INVALID STOCK,sold,2022-11-14
Tommy Tuberville,INVALID STOCK,sold,2022-11-14
Tommy Tuberville,INVALID STOCK,bought,2022-11-14
Rick Scott,Bond,bought,2022-11-14
Rick Scott,Bond,bought,2022-11-14
Shelley Capito,GWW,bought,2022-11-14
Shelley Capito,COST,bought,2022-11-14
Deb Fischer,LMT,sold,2022-11-14
Deb Fischer,KO,sold,2022-11-14
Deb Fischer,CSCO,sold,2022-11-14
Deb Fischer,CAT,sold,2022-11-14
Shelley Capito,INTC,sold,2022-11-14
Shelley Capito,F,sold,2022-11-14
Shelley Capito,MMM,sold,2022-11-14
Shelley Capito,MSFT,sold,2022-11-14
Shelley Capito,IBM,sold,2022-11-14
Shelley Capito,INTC,sold,2022-11-14
Shelley Capito,KO,sold,2022-11-14
Shelley Capito,BMY,sold,2022-11-14
Dan Sullivan,RPM,sold,2022-11-14
Lindsey Graham,VTIP,sold,2022-11-14
Lindsey Graham,Bond,bought,2022-11-14
Lindsey Graham,Bond,bought,2022-11-14
Tommy Tuberville,BRK.B,sold,2022-11-14
Tommy Tuberville,INVALID STOCK,bought,2022-11-14
Tommy Tuberville,PYPL,bought,2022-11-14
Tommy Tuberville,QCOM,sold,2022-11-14
Tommy Tuberville,QCOM,sold,2022-11-14
Tommy Tuberville,X,sold,2022-11-14
Tommy Tuberville,GOLD,bought,2022-11-14
Tommy Tuberville,INVALID STOCK,sold,2022-11-14
Tommy Tuberville,GOLD,sold,2022-11-14
Tommy Tuberville,X,bought,2022-11-14
Tommy Tuberville,SSYS,bought,2022-11-14
Tommy Tuberville,INTC,bought,2022-11-14
Tommy Tuberville,SCCO,sold,2022-11-14
Tommy Tuberville,PYPL,bought,2022-11-14
Tommy Tuberville,EVT,sold,2022-11-14
Tommy Tuberville,CVX,sold,2022-11-14
Tommy Tuberville,QCOM,bought,2022-11-14
Tommy Tuberville,PYPL,bought,2022-11-14
Tommy Tuberville,NVDA,sold,2022-11-14
Tommy Tuberville,PYPL,sold,2022-11-14
Tommy Tuberville,PYPL,bought,2022-11-14
Tommy Tuberville,QCOM,bought,2022-11-14
Tommy Tuberville,NVDA,bought,2022-11-14
Tommy Tuberville,SSYS,bought,2022-11-14
Tommy Tuberville,SSYS,bought,2022-11-14
Tommy Tuberville,INTC,bought,2022-11-14
Tommy Tuberville,INVALID STOCK,sold,2022-11-14
Tommy Tuberville,INVALID STOCK,bought,2022-11-14
Tommy Tuberville,INVALID STOCK,sold,2022-11-14
Bill Hagerty,INVALID STOCK,bought,2022-11-14
Bill Hagerty,INVALID STOCK,bought,2022-11-14
Bill Hagerty,INVALID STOCK,bought,2022-11-14
Bill Hagerty,INVALID STOCK,bought,2022-11-14
Thomas Carper,INVALID STOCK,bought,2022-11-14
Thomas Carper,INVALID STOCK,sold,2022-11-14
